labels,scores
0,0.005819837
0,0.000541345
0,0.000478466
0,0.002436663
0,0.000793713
0,0.005942804
0,0.00077516
0,0.000973913
0,0.000893415
0,0.000676193
0,0.00173301
0,0.000421362
0,0.041436471
0,0.032623738
0,0.022215778
0,0.001321722
0,0.001922516
0,0.002549539
0,0.004811049
0,0.001541594
0,0.001813334
0,0.000862159
0,0.000595953
0,0.00090976
0,0.002480325
0,0.000795393
0,0.002171217
0,0.001318745
0,0.001784449
0,0.001378362
0,0.000429259
0,0.000834915
0,0.004035497
0,0.001212118
0,0.002972924
0,0.002169253
0,0.000698307
0,0.000594967
0,0.001435088
0,0.003022341
0,0.001675407
0,0.000344883
0,0.000517688
0,0.001767627
0,0.001569067
0,0.004147505
0,0.000937972
0,0.001053201
0,0.000514726
0,0.001629623
0,0.002803956
0,0.000294685
0,0.00929703
0,0.000321111
0,0.002869902
0,0.003019434
0,0.002529796
0,0.001422479
0,0.000557204
0,0.000405297
0,0.003144574
0,0.010234144
0,0.002634874
0,0.001394082
0,0.008034442
0,0.000325789
0,0.000715627
0,0.002968668
0,0.001066371
0,0.000516367
0,0.001212705
0,0.001436924
0,0.00065307
0,0.003872145
0,0.000508084
0,0.008066279
0,0.003244675
0,0.006030753
0,0.003169525
0,0.000423807
0,0.000394355
0,0.003069052
0,0.000334058
0,0.000806147
0,0.000902453
0,0.00203656
0,0.001230867
0,0.001134668
0,0.000644623
0,0.023709599
0,0.005767986
0,0.000234092
0,0.074976146
0,0.003927961
0,0.001945574
0,0.000249338
0,0.000669123
0,0.001920602
0,0.000978907
0,0.000508451
0,0.000705715
0,0.001663737
0,0.002004573
0,0.001466252
0,0.001634157
0,0.001296775
0,0.000797564
0,0.001427399
0,0.010769636
0,0.009884702
0,0.006655166
0,0.069715351
0,0.004204882
0,0.000234602
0,0.000362231
0,0.002129402
0,0.000483607
0,0.000446319
0,0.003945353
0,0.000267005
0,0.002024383
0,0.001000939
0,0.000972248
0,0.001138921
0,0.001744075
0,0.000719461
0,0.007577312
0,0.01030822
0,0.012484683
0,0.000643201
0,0.001318832
0,0.002448256
0,0.003705479
0,0.005017081
0,0.00209139
0,0.004836019
0,0.000525429
0,0.001088069
0,0.00179757
0,0.001075492
0,0.000547434
0,0.002165453
0,0.001894137
0,0.0008483
0,0.001907353
0,0.006936556
0,0.008663852
0,0.000577169
0,0.009098264
0,0.0030896
0,0.002928211
0,0.001035502
0,0.000522791
0,0.000880998
0,0.000349396
0,0.000768058
0,0.000248521
0,0.002286707
0,0.000538405
0,0.001578336
0,0.002241736
0,0.005916889
0,0.001925271
0,0.00123784
0,0.004470212
0,0.001207986
0,0.003274034
0,0.001259482
0,0.000606506
0,0.000766663
0,0.000524039
0,0.000523913
0,0.001029268
0,0.000544196
0,0.000889978
0,0.003020588
0,0.000396517
0,0.000466566
0,0.000362773
0,0.001582386
0,0.001794805
0,0.002912393
0,0.004971439
0,0.010307136
0,0.014090717
0,0.000883731
0,0.001378808
0,0.015248903
0,0.000776788
0,0.002391231
0,0.001040611
0,0.000674392
0,0.002093048
0,0.001217026
0,0.000985609
0,0.001080074
0,0.001550393
0,0.000572792
0,0.00129508
0,0.000972863
0,0.00184171
0,0.001757499
0,0.001461186
0,0.002196494
0,0.000625615
0,0.00221446
0,0.003427928
0,0.001339151
0,0.002646955
0,0.00491841
0,0.001198521
0,0.001202749
0,0.000994327
0,0.000235895
0,0.001557181
0,0.000388405
0,0.000399831
0,0.001545229
0,0.002676279
0,0.002585302
0,0.000884197
0,0.000986799
0,0.001329534
0,0.000887243
0,0.000902559
0,0.001374294
0,0.002902975
0,0.00127002
0,0.000771297
0,0.000477286
0,0.002023248
0,0.000805346
0,0.000873677
0,0.000433613
0,0.001625677
0,0.001481718
0,0.003632905
0,0.000248578
0,0.000730734
0,0.000234746
0,0.000316416
0,0.001671291
0,0.001865408
0,0.000232883
0,0.001302011
0,0.001162363
0,0.001510914
0,0.001189684
0,0.003144745
0,0.000796605
0,0.000685771
0,0.001060125
0,0.002314295
0,0.001066338
0,0.000816756
0,0.002195514
0,0.000963483
0,0.003312115
0,0.00213941
0,0.000260061
0,0.002254797
0,0.000827207
0,0.000775615
0,0.00072961
0,0.001194493
0,0.000623519
0,0.000668643
0,0.000554906
0,0.001074101
0,0.012402743
0,0.000382673
0,0.003835298
0,0.000542196
0,0.000541344
0,0.000988888
0,0.000476842
0,0.002229438
0,0.002075823
0,0.002984755
0,0.000846173
0,0.000400257
0,0.000326176
0,0.000637075
0,0.000411775
0,0.000902883
0,0.001350715
0,0.001060872
0,0.001557801
0,0.003635268
0,0.001412179
0,0.000596239
0,0.004725999
0,0.000753672
0,0.001449267
0,0.002319672
0,0.002367029
0,0.000970503
0,0.000669496
0,0.000404659
0,0.001091605
0,0.000996635
0,0.000395247
0,0.000480871
0,0.000664288
0,0.000835216
0,0.00145402
0,0.00101185
0,0.001137652
0,0.001411863
0,0.005250373
0,0.000309141
0,0.002302652
0,0.000593903
0,0.000462174
0,0.001445969
0,0.000591564
0,0.000837922
0,0.000548679
0,0.000473061
0,0.000303185
0,0.0014801
0,0.00131801
0,0.00157385
0,0.000215193
0,0.000457166
0,0.000395974
0,0.001142084
0,0.003739595
0,0.003487418
0,0.002588065
0,0.004541164
0,0.002333186
0,0.002828358
0,0.00220724
0,0.001137283
0,0.006580965
0,0.002995726
0,0.000708989
0,0.000572047
0,0.000873224
0,0.000545799
0,0.005078693
0,0.001463926
0,0.000921266
0,0.000283842
0,0.000313527
0,0.000676203
0,0.000316383
0,0.000754748
0,0.00157836
0,0.000992955
0,0.003200017
0,0.002459516
0,0.000413934
0,0.000503073
0,0.000574568
0,0.000800446
0,0.001480222
0,0.000556005
0,0.000953172
0,0.002935646
0,0.001644214
0,0.001903219
0,0.00143466
0,0.000343997
0,0.000687247
0,0.000676944
0,0.002182735
0,0.00083159
0,0.001169406
0,0.001911014
0,0.000463748
0,0.001392939
0,0.001075948
0,0.000344967
0,0.001204764
0,0.000272015
0,0.000356848
0,0.0003803
0,0.000654392
0,0.000371718
0,0.000604045
0,0.000714872
0,0.003469501
0,0.001528452
0,0.002279014
0,0.000812176
0,0.000552879
0,0.00097473
0,0.000721646
0,0.001313304
0,0.000587093
0,0.001747507
0,0.020332355
0,0.000718376
0,0.002605094
0,0.001007225
0,0.001807687
0,0.004202455
0,0.000747625
0,0.000386969
0,0.001342803
0,0.002236092
0,0.001879665
0,0.000507284
0,0.001284217
0,0.003308798
0,0.001992497
0,0.000866666
0,0.000352307
0,0.009554506
0,0.001026833
0,0.001074932
0,0.001669016
0,0.009705155
0,0.004849507
0,0.000689593
0,0.004718167
0,0.002792946
0,0.000353268
0,0.002207313
0,0.000574199
0,0.00138896
0,0.000405908
0,0.000966717
0,0.001235638
0,0.000632646
0,0.000265578
0,0.000269628
0,0.000881868
0,0.000453316
0,0.002850814
0,0.000243194
0,0.000367206
0,0.000595881
0,0.000383906
0,0.007252692
0,0.003743174
0,0.00182643
0,0.001451158
0,0.00216635
0,0.000399577
0,0.00087986
0,0.000379474
0,0.000567166
0,0.000256982
0,0.001246048
0,0.000537679
0,0.001352072
0,0.000265682
0,0.000701064
0,0.001347588
0,0.003352387
0,0.0005465
0,0.005714049
0,0.02052559
0,0.000727142
0,0.000826957
0,0.002095358
0,0.003389576
0,0.00099153
0,0.000360262
0,0.00057426
0,0.000326144
0,0.000896231
0,0.000715822
0,0.001083577
0,0.000276242
0,0.000344038
0,0.000595572
0,0.007831721
0,0.010522305
0,0.004479382
0,0.001555336
0,0.001793454
0,0.000844579
0,0.00040299
0,0.002621318
0,0.000982482
0,0.000413196
0,0.001586244
0,0.001425236
0,0.001715088
0,0.000517769
0,0.003546656
0,0.000880459
0,0.005778895
0,0.000731905
0,0.001326219
0,0.000604381
0,0.000783805
0,0.000858564
0,0.000440489
0,0.000862662
0,0.00619445
0,0.001580215
0,0.001809685
0,0.000957823
0,0.000311888
0,0.001042197
0,0.001462504
0,0.001313126
0,0.000250312
0,0.000360576
0,0.00035619
0,0.000653093
0,0.003108113
0,0.003431119
0,0.001981259
0,0.001583457
0,0.003849648
0,0.000436371
0,0.001408604
0,0.001779523
0,0.001351474
0,0.001342535
0,0.001234557
0,0.000686415
0,0.000297299
0,0.000419688
0,0.001285374
0,0.006980417
0,0.00061128
0,0.000672501
0,0.000417808
0,0.000390009
0,0.00052576
0,0.002542608
0,0.001277521
0,0.001879602
1,0.055494498
1,0.074420966
1,0.009480235
1,0.007712509
1,0.000601629
1,0.001592668
1,0.000940659
1,0.000724163
1,0.005051503
1,0.023769198
1,0.047267597
1,0.007556015
1,0.005653649
1,0.003459814
1,0.006767691
1,0.001849357
1,0.001144539
1,0.000903436
1,0.002789304
1,0.038214661
1,0.022400061
1,0.008115025
1,0.013081412
1,0.071154922
1,0.066185914
1,0.008635637
1,0.044633709
1,0.025090333
1,0.009154655
1,0.012869203
1,0.084249377
1,0.056479558
1,0.050578631
1,0.002716208
1,0.002284213
1,0.000649595
1,0.078822233
1,0.091113806
1,0.035531115
1,0.016087428
1,0.001966908
1,0.001320795
1,0.000480699
1,0.003857727
1,0.004386425
1,0.000631638
1,0.007492417
1,0.001642325
1,0.000752617
1,0.001517214
1,0.019650502
1,0.086902492
1,0.110957108
1,0.090481311
1,0.079564743
1,0.001908085
1,0.001926746
1,0.007429002
1,0.001048399
1,0.016020633
1,0.072807536
1,0.100462243
1,0.052994855
1,0.01465263
1,0.005801842
1,0.000712808
1,0.000875124
1,0.000843504
1,0.010804346
1,0.023888135
1,0.007573935
1,0.02252331
1,0.002793187
1,0.018528091
1,0.028729694
1,0.007701521
1,0.051987723
1,0.104767919
1,0.010213832
1,0.024298573
1,0.064043105
1,0.011885977
1,0.005869356
1,0.000858049
1,0.002201854
1,0.002957457
1,0.002018098
1,0.001368479
1,0.001431456
1,0.003609234
1,0.002582015
1,0.004610704
1,0.004665829
1,0.003869287
1,0.002956075
1,0.00603111
1,0.014647277
1,0.022627404
1,0.011842312
1,0.001448315
1,0.001107282
1,0.002662911
1,0.006576697
1,0.006417347
1,0.027999736
1,0.033798847
1,0.03151596
1,0.007183283
1,0.00233105
1,0.007727482
1,0.000508442
1,0.000608958
1,0.000987656
1,0.00119136
1,0.003609847
1,0.049847219
1,0.0142256
